0.013899,0.000489
0.078945,0.007168
0.149162,0.020005
0.227476,0.036669
0.307493,0.045473
0.388032,0.046307
0.468611,0.042307
0.548494,0.033987
0.627475,0.025897
0.706606,0.022566
0.785948,0.024872
0.865088,0.032769
0.946175,0.043978
1.026754,0.052415
1.108006,0.061132
1.189407,0.069890
1.270441,0.075784
1.351309,0.083387
1.422185,0.110069
1.463335,0.168678
1.462318,0.245272
1.439166,0.321184
1.419711,0.399554
1.406373,0.483451
1.405064,0.566831
1.417523,0.647978
1.439413,0.725177
1.460959,0.801890
1.475830,0.880026
1.483021,0.959538
1.486645,1.038945
1.489292,1.118399
1.490859,1.198629
1.490158,1.279412
1.488139,1.359043
1.484939,1.438246
1.478099,1.518378
1.470493,1.597248
1.461719,1.676416
1.448210,1.757485
1.429459,1.834556
1.406326,1.910323
1.368338,1.976612
1.305105,2.020706
1.230047,2.035871
1.150578,2.039034
1.069352,2.044195
0.988697,2.054139
0.909930,2.065619
0.830700,2.076489
0.751223,2.084514
0.671800,2.088289
0.592712,2.091214
0.511805,2.090001
0.432558,2.084122
0.354181,2.072698
0.276040,2.056168
0.198387,2.037892
0.119238,2.024041
